merchant_code,week,denominator_status_complete,orders_row_exists,order_count,sales_qty,page_result_reason
0200103*3,2026-08-09..2026-08-16,1,1,3,3.0000,aggregate_row
0200103*3,2026-08-16..2026-08-23,1,1,3,3.0000,aggregate_row
0200103*3,2026-08-23..2026-08-30,1,1,3,3.0000,aggregate_row
0200103*3,2026-08-30..2026-09-06,1,1,8,8.0000,aggregate_row
0200103*3,2026-09-06..2026-09-13,1,1,1,1.0000,aggregate_row
0200103*4,2026-08-09..2026-08-16,1,0,,,verified_zero
0200103*4,2026-08-16..2026-08-23,1,0,,,verified_zero
0200103*4,2026-08-23..2026-08-30,1,1,1,2.0000,aggregate_row
0200103*4,2026-08-30..2026-09-06,1,1,1,3.0000,aggregate_row
0200103*4,2026-09-06..2026-09-13,1,1,2,2.0000,aggregate_row
0200103*8,2026-08-09..2026-08-16,1,1,22,43.0000,aggregate_row
0200103*8,2026-08-16..2026-08-23,1,1,19,31.0000,aggregate_row
0200103*8,2026-08-23..2026-08-30,1,1,24,43.0000,aggregate_row
0200103*8,2026-08-30..2026-09-06,1,1,11,30.0000,aggregate_row
0200103*8,2026-09-06..2026-09-13,1,1,29,30.0000,aggregate_row
0200104*6,2026-08-09..2026-08-16,1,1,2,2.0000,aggregate_row
0200104*6,2026-08-16..2026-08-23,1,1,4,5.0000,aggregate_row
0200104*6,2026-08-23..2026-08-30,1,1,3,5.0000,aggregate_row
0200104*6,2026-08-30..2026-09-06,1,1,2,2.0000,aggregate_row
0200104*6,2026-09-06..2026-09-13,1,1,3,3.0000,aggregate_row
0200104*7,2026-08-09..2026-08-16,1,0,,,verified_zero
0200104*7,2026-08-16..2026-08-23,1,1,1,1.0000,aggregate_row
0200104*7,2026-08-23..2026-08-30,1,1,1,1.0000,aggregate_row
0200104*7,2026-08-30..2026-09-06,1,1,2,3.0000,aggregate_row
0200104*7,2026-09-06..2026-09-13,1,1,2,2.0000,aggregate_row
0200108*2+0200107*2,2026-08-09..2026-08-16,1,0,,,verified_zero
0200108*2+0200107*2,2026-08-16..2026-08-23,1,1,2,2.0000,aggregate_row
0200108*2+0200107*2,2026-08-23..2026-08-30,1,0,,,verified_zero
0200108*2+0200107*2,2026-08-30..2026-09-06,1,1,1,1.0000,aggregate_row
0200108*2+0200107*2,2026-09-06..2026-09-13,1,0,,,verified_zero
0200120,2026-08-09..2026-08-16,1,1,87,92.0000,aggregate_row
0200120,2026-08-16..2026-08-23,1,1,74,74.0000,aggregate_row
0200120,2026-08-23..2026-08-30,1,1,68,69.0000,aggregate_row
0200120,2026-08-30..2026-09-06,1,1,97,102.0000,aggregate_row
0200120,2026-09-06..2026-09-13,1,1,123,137.0000,aggregate_row
0200125,2026-08-09..2026-08-16,1,1,40,42.0000,aggregate_row
0200125,2026-08-16..2026-08-23,1,1,23,23.0000,aggregate_row
0200125,2026-08-23..2026-08-30,1,1,23,23.0000,aggregate_row
0200125,2026-08-30..2026-09-06,1,1,23,25.0000,aggregate_row
0200125,2026-09-06..2026-09-13,1,1,23,23.0000,aggregate_row
0200125*2,2026-08-09..2026-08-16,1,1,137,137.0000,aggregate_row
0200125*2,2026-08-16..2026-08-23,1,1,88,88.0000,aggregate_row
0200125*2,2026-08-23..2026-08-30,1,1,43,44.0000,aggregate_row
0200125*2,2026-08-30..2026-09-06,1,1,80,80.0000,aggregate_row
0200125*2,2026-09-06..2026-09-13,1,1,70,70.0000,aggregate_row
0200125*3,2026-08-09..2026-08-16,1,1,52,53.0000,aggregate_row
0200125*3,2026-08-16..2026-08-23,1,1,46,46.0000,aggregate_row
0200125*3,2026-08-23..2026-08-30,1,1,21,21.0000,aggregate_row
0200125*3,2026-08-30..2026-09-06,1,1,28,29.0000,aggregate_row
0200125*3,2026-09-06..2026-09-13,1,1,33,33.0000,aggregate_row
0200125*5,2026-08-09..2026-08-16,1,1,53,56.0000,aggregate_row
0200125*5,2026-08-16..2026-08-23,1,1,42,43.0000,aggregate_row
0200125*5,2026-08-23..2026-08-30,1,1,41,45.0000,aggregate_row
0200125*5,2026-08-30..2026-09-06,1,1,61,63.0000,aggregate_row
0200125*5,2026-09-06..2026-09-13,1,1,53,56.0000,aggregate_row
0200131,2026-08-09..2026-08-16,1,1,13,21.0000,aggregate_row
0200131,2026-08-16..2026-08-23,1,1,16,19.0000,aggregate_row
0200131,2026-08-23..2026-08-30,1,1,18,39.0000,aggregate_row
0200131,2026-08-30..2026-09-06,1,1,18,26.0000,aggregate_row
0200131,2026-09-06..2026-09-13,1,1,23,100.0000,aggregate_row
0200139,2026-08-09..2026-08-16,1,1,26,94.0000,aggregate_row
0200139,2026-08-16..2026-08-23,1,1,17,46.0000,aggregate_row
0200139,2026-08-23..2026-08-30,1,1,11,56.0000,aggregate_row
0200139,2026-08-30..2026-09-06,1,1,29,119.0000,aggregate_row
0200139,2026-09-06..2026-09-13,1,1,28,102.0000,aggregate_row
0204701,2026-08-09..2026-08-16,1,1,4,4.0000,aggregate_row
0204701,2026-08-16..2026-08-23,1,1,1,1.0000,aggregate_row
0204701,2026-08-23..2026-08-30,1,1,1,1.0000,aggregate_row
0204701,2026-08-30..2026-09-06,1,1,2,2.0000,aggregate_row
0204701,2026-09-06..2026-09-13,1,1,3,4.0000,aggregate_row
0204701*2,2026-08-09..2026-08-16,1,1,1,1.0000,aggregate_row
0204701*2,2026-08-16..2026-08-23,1,1,1,1.0000,aggregate_row
0204701*2,2026-08-23..2026-08-30,1,0,,,verified_zero
0204701*2,2026-08-30..2026-09-06,1,1,1,1.0000,aggregate_row
0204701*2,2026-09-06..2026-09-13,1,1,2,2.0000,aggregate_row
0700101*10,2026-08-09..2026-08-16,1,1,59,60.0000,aggregate_row
0700101*10,2026-08-16..2026-08-23,1,1,68,68.0000,aggregate_row
0700101*10,2026-08-23..2026-08-30,1,1,55,56.0000,aggregate_row
0700101*10,2026-08-30..2026-09-06,1,1,69,69.0000,aggregate_row
0700101*10,2026-09-06..2026-09-13,1,1,51,52.0000,aggregate_row
0700101*15,2026-08-09..2026-08-16,1,1,30,31.0000,aggregate_row
0700101*15,2026-08-16..2026-08-23,1,1,27,28.0000,aggregate_row
0700101*15,2026-08-23..2026-08-30,1,1,14,14.0000,aggregate_row
0700101*15,2026-08-30..2026-09-06,1,1,24,24.0000,aggregate_row
0700101*15,2026-09-06..2026-09-13,1,1,12,12.0000,aggregate_row
0700101*25,2026-08-09..2026-08-16,1,1,14,16.0000,aggregate_row
0700101*25,2026-08-16..2026-08-23,1,1,14,22.0000,aggregate_row
0700101*25,2026-08-23..2026-08-30,1,1,18,21.0000,aggregate_row
0700101*25,2026-08-30..2026-09-06,1,1,4,4.0000,aggregate_row
0700101*25,2026-09-06..2026-09-13,1,1,13,14.0000,aggregate_row
0700101*5,2026-08-09..2026-08-16,1,1,138,141.0000,aggregate_row
0700101*5,2026-08-16..2026-08-23,1,1,113,113.0000,aggregate_row
0700101*5,2026-08-23..2026-08-30,1,1,103,105.0000,aggregate_row
0700101*5,2026-08-30..2026-09-06,1,1,90,91.0000,aggregate_row
0700101*5,2026-09-06..2026-09-13,1,1,92,94.0000,aggregate_row
0700101*50,2026-08-09..2026-08-16,1,1,6,7.0000,aggregate_row
0700101*50,2026-08-16..2026-08-23,1,1,4,4.0000,aggregate_row
0700101*50,2026-08-23..2026-08-30,1,1,11,12.0000,aggregate_row
0700101*50,2026-08-30..2026-09-06,1,1,7,7.0000,aggregate_row
0700101*50,2026-09-06..2026-09-13,1,1,4,4.0000,aggregate_row
10401801-1,2026-08-09..2026-08-16,1,1,2,2.0000,aggregate_row
10401801-1,2026-08-16..2026-08-23,1,1,2,2.0000,aggregate_row
10401801-1,2026-08-23..2026-08-30,1,1,2,2.0000,aggregate_row
10401801-1,2026-08-30..2026-09-06,1,0,,,verified_zero
10401801-1,2026-09-06..2026-09-13,1,0,,,verified_zero
1300101,2026-08-09..2026-08-16,1,1,15,25.0000,aggregate_row
1300101,2026-08-16..2026-08-23,1,1,16,22.0000,aggregate_row
1300101,2026-08-23..2026-08-30,1,1,15,20.0000,aggregate_row
1300101,2026-08-30..2026-09-06,1,1,13,17.0000,aggregate_row
1300101,2026-09-06..2026-09-13,1,1,12,29.0000,aggregate_row
2016011509,2026-08-09..2026-08-16,1,1,61,72.0000,aggregate_row
2016011509,2026-08-16..2026-08-23,1,1,69,69.0000,aggregate_row
2016011509,2026-08-23..2026-08-30,1,1,43,44.0000,aggregate_row
2016011509,2026-08-30..2026-09-06,1,1,41,41.0000,aggregate_row
2016011509,2026-09-06..2026-09-13,1,1,29,32.0000,aggregate_row
2016011510,2026-08-09..2026-08-16,1,1,22,23.0000,aggregate_row
2016011510,2026-08-16..2026-08-23,1,1,19,20.0000,aggregate_row
2016011510,2026-08-23..2026-08-30,1,1,20,20.0000,aggregate_row
2016011510,2026-08-30..2026-09-06,1,1,13,13.0000,aggregate_row
2016011510,2026-09-06..2026-09-13,1,1,13,13.0000,aggregate_row
2016011511,2026-08-09..2026-08-16,1,1,19,22.0000,aggregate_row
2016011511,2026-08-16..2026-08-23,1,1,16,21.0000,aggregate_row
2016011511,2026-08-23..2026-08-30,1,1,12,14.0000,aggregate_row
2016011511,2026-08-30..2026-09-06,1,1,11,13.0000,aggregate_row
2016011511,2026-09-06..2026-09-13,1,1,15,19.0000,aggregate_row
2022221,2026-08-09..2026-08-16,1,1,36,108.0000,aggregate_row
2022221,2026-08-16..2026-08-23,1,1,41,117.0000,aggregate_row
2022221,2026-08-23..2026-08-30,1,1,42,99.0000,aggregate_row
2022221,2026-08-30..2026-09-06,1,1,26,78.0000,aggregate_row
2022221,2026-09-06..2026-09-13,1,1,33,68.0000,aggregate_row
20230898,2026-08-09..2026-08-16,1,1,21,25.0000,aggregate_row
20230898,2026-08-16..2026-08-23,1,1,27,32.0000,aggregate_row
20230898,2026-08-23..2026-08-30,1,1,31,37.0000,aggregate_row
20230898,2026-08-30..2026-09-06,1,1,26,29.0000,aggregate_row
20230898,2026-09-06..2026-09-13,1,1,21,26.0000,aggregate_row
20230898*2,2026-08-09..2026-08-16,1,1,23,24.0000,aggregate_row
20230898*2,2026-08-16..2026-08-23,1,1,19,22.0000,aggregate_row
20230898*2,2026-08-23..2026-08-30,1,1,12,12.0000,aggregate_row
20230898*2,2026-08-30..2026-09-06,1,1,9,9.0000,aggregate_row
20230898*2,2026-09-06..2026-09-13,1,1,15,16.0000,aggregate_row
2023101711,2026-08-09..2026-08-16,1,1,31,31.0000,aggregate_row
2023101711,2026-08-16..2026-08-23,1,1,21,21.0000,aggregate_row
2023101711,2026-08-23..2026-08-30,1,1,20,20.0000,aggregate_row
2023101711,2026-08-30..2026-09-06,1,1,24,24.0000,aggregate_row
2023101711,2026-09-06..2026-09-13,1,1,37,37.0000,aggregate_row
2023101712,2026-08-09..2026-08-16,1,1,13,15.0000,aggregate_row
2023101712,2026-08-16..2026-08-23,1,1,4,4.0000,aggregate_row
2023101712,2026-08-23..2026-08-30,1,1,3,3.0000,aggregate_row
2023101712,2026-08-30..2026-09-06,1,1,10,10.0000,aggregate_row
2023101712,2026-09-06..2026-09-13,1,1,13,13.0000,aggregate_row
2023102201,2026-08-09..2026-08-16,1,1,13,14.0000,aggregate_row
2023102201,2026-08-16..2026-08-23,1,1,8,8.0000,aggregate_row
2023102201,2026-08-23..2026-08-30,1,1,23,23.0000,aggregate_row
2023102201,2026-08-30..2026-09-06,1,1,27,28.0000,aggregate_row
2023102201,2026-09-06..2026-09-13,1,1,22,22.0000,aggregate_row
2023102202,2026-08-09..2026-08-16,1,1,3,3.0000,aggregate_row
2023102202,2026-08-16..2026-08-23,1,1,7,7.0000,aggregate_row
2023102202,2026-08-23..2026-08-30,1,1,6,6.0000,aggregate_row
2023102202,2026-08-30..2026-09-06,1,1,6,6.0000,aggregate_row
2023102202,2026-09-06..2026-09-13,1,1,2,2.0000,aggregate_row
2023102203,2026-08-09..2026-08-16,1,1,4,4.0000,aggregate_row
2023102203,2026-08-16..2026-08-23,1,1,3,4.0000,aggregate_row
2023102203,2026-08-23..2026-08-30,1,1,5,5.0000,aggregate_row
2023102203,2026-08-30..2026-09-06,1,1,8,8.0000,aggregate_row
2023102203,2026-09-06..2026-09-13,1,1,8,8.0000,aggregate_row
2023102204,2026-08-09..2026-08-16,1,1,2,2.0000,aggregate_row
2023102204,2026-08-16..2026-08-23,1,1,1,1.0000,aggregate_row
2023102204,2026-08-23..2026-08-30,1,1,5,8.0000,aggregate_row
2023102204,2026-08-30..2026-09-06,1,1,6,9.0000,aggregate_row
2023102204,2026-09-06..2026-09-13,1,1,2,3.0000,aggregate_row
2023102301*2,2026-08-09..2026-08-16,1,1,64,66.0000,aggregate_row
2023102301*2,2026-08-16..2026-08-23,1,1,59,60.0000,aggregate_row
2023102301*2,2026-08-23..2026-08-30,1,1,57,60.0000,aggregate_row
2023102301*2,2026-08-30..2026-09-06,1,1,59,60.0000,aggregate_row
2023102301*2,2026-09-06..2026-09-13,1,1,42,42.0000,aggregate_row
2023102301*4,2026-08-09..2026-08-16,1,1,46,56.0000,aggregate_row
2023102301*4,2026-08-16..2026-08-23,1,1,48,56.0000,aggregate_row
2023102301*4,2026-08-23..2026-08-30,1,1,41,52.0000,aggregate_row
2023102301*4,2026-08-30..2026-09-06,1,1,47,49.0000,aggregate_row
2023102301*4,2026-09-06..2026-09-13,1,1,37,40.0000,aggregate_row
2023110303,2026-08-09..2026-08-16,1,1,2,2.0000,aggregate_row
2023110303,2026-08-16..2026-08-23,1,1,1,1.0000,aggregate_row
2023110303,2026-08-23..2026-08-30,1,1,1,1.0000,aggregate_row
2023110303,2026-08-30..2026-09-06,1,1,1,1.0000,aggregate_row
2023110303,2026-09-06..2026-09-13,1,1,4,4.0000,aggregate_row
2023120501,2026-08-09..2026-08-16,1,1,17,17.0000,aggregate_row
2023120501,2026-08-16..2026-08-23,1,1,20,20.0000,aggregate_row
